Symbol,Name,Sector,Industry,Summary Quote
TUR,iShares MSCI Turkey ETF,n/a,n/a,https://www.nasdaq.com/symbol/tur
UAE,iShares MSCI UAE ETF,n/a,n/a,https://www.nasdaq.com/symbol/uae
ESGU,iShares MSCI USA ESG Optimized ETF,n/a,n/a,https://www.nasdaq.com/symbol/esgu
IBB,iShares Nasdaq Biotechnology Index Fund,n/a,n/a,https://www.nasdaq.com/symbol/ibb
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,n/a,n/a,https://www.nasdaq.com/symbol/soxx
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,n/a,n/a,https://www.nasdaq.com/symbol/amca
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,n/a,n/a,https://www.nasdaq.com/symbol/emif
ICLN,iShares S&P Global Clean Energy Index Fund,n/a,n/a,https://www.nasdaq.com/symbol/icln
WOOD,iShares S&P Global Timber & Forestry Index Fund,n/a,n/a,https://www.nasdaq.com/symbol/wood
INDY,iShares S&P India Nifty 50 Index Fund,n/a,n/a,https://www.nasdaq.com/symbol/indy
IJT,iShares S&P Small-Cap 600 Growth ETF,n/a,n/a,https://www.nasdaq.com/symbol/ijt
DVY,iShares Select Dividend ETF,n/a,n/a,https://www.nasdaq.com/symbol/dvy
SHV,iShares Short Treasury Bond ETF,n/a,n/a,https://www.nasdaq.com/symbol/shv
CRED,iShares U.S. Credit Bond ETF,n/a,n/a,https://www.nasdaq.com/symbol/cred
PFF,iShares U.S. Preferred Stock ETF,n/a,n/a,https://www.nasdaq.com/symbol/pff
ISRL,"Isramco, Inc.",Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/isrl
ITI,"Iteris, Inc.",Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/iti
ITRI,"Itron, Inc.",Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/itri
ITRN,Ituran Location and Control Ltd.,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/itrn
ITUS,ITUS Corporation,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/itus
IVENC,Ivy NextShares,n/a,n/a,https://www.nasdaq.com/symbol/ivenc
IVFGC,Ivy NextShares,n/a,n/a,https://www.nasdaq.com/symbol/ivfgc
IVFVC,Ivy NextShares,n/a,n/a,https://www.nasdaq.com/symbol/ivfvc
IZEA,IZEA Inc.,Consumer Services,Advertising,https://www.nasdaq.com/symbol/izea
JJSF,J & J Snack Foods Corp.,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/jjsf
MAYS,"J. W. Mays, Inc.",Consumer Services,Building operators,https://www.nasdaq.com/symbol/mays
JBHT,"J.B. Hunt Transport Services, Inc.",Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/jbht
JCOM,"j2 Global, Inc.",Technology,Telecommunications Equipment,https://www.nasdaq.com/symbol/jcom
JASO,"JA Solar Holdings, Co., Ltd.",Technology,Semiconductors,https://www.nasdaq.com/symbol/jaso
JKHY,"Jack Henry & Associates, Inc.",Technology,EDP Services,https://www.nasdaq.com/symbol/jkhy
JACK,Jack In The Box Inc.,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/jack
JXSB,Jacksonville Bancorp Inc.,Finance,Savings Institutions,https://www.nasdaq.com/symbol/jxsb
JAGX,"Jaguar Health, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jagx
JAKK,"JAKKS Pacific, Inc.",Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/jakk
JMBA,"Jamba, Inc.",Consumer Services,Restaurants,https://www.nasdaq.com/symbol/jmba
JRVR,"James River Group Holdings, Ltd.",Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/jrvr
SGQI,Janus Henderson SG Global Quality Income ETF,n/a,n/a,https://www.nasdaq.com/symbol/sgqi
JSML,Janus Henderson Small Cap Growth Alpha ETF,n/a,n/a,https://www.nasdaq.com/symbol/jsml
JSMD,Janus Henderson Small/Mid Cap Growth Alpha ETF,n/a,n/a,https://www.nasdaq.com/symbol/jsmd
JASN,"Jason Industries, Inc.",Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/jasn
JASNW,"Jason Industries, Inc.",Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/jasnw
JAZZ,Jazz Pharmaceuticals plc,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jazz
JD,"JD.com, Inc.",Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/jd
JSYN,Jensyn Acquistion Corp.,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsyn
JSYNR,Jensyn Acquistion Corp.,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsynr
JSYNU,Jensyn Acquistion Corp.,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsynu
